Police Id,Licence Number,Fine
1234,DL1C84285,1300
1235,DL1C84528,1100
1236,DL1C73877,1900
1237,DL1C65611,1400
1238,DL1C11566,1100
1239,DL1C56384,900
1240,DL1C55026,1900
1241,DL1C77783,300
1242,DL1C55420,900
1243,DL1C23700,700
1244,DL1C91064,400
1245,DL1C84528,800
1246,DL1C73877,1900
1247,DL1C65611,2000
1248,DL1C91457,1100
1249,DL1C56384,900
1250,DL1C55026,1900
1251,DL1C30077,300
1252,DL1C55420,900
1253,DL1C23700,700
1254,DL1C91064,400
1255,DL1C84528,800
1256,DL1C73877,1900
1257,DL1C65611,2000
1258,DL1C91064,400
1259,DL1C84528,800
1260,DL1C73877,1900
1261,DL1C65611,2000
1262,DL1C73877,1900
1263,DL1C65611,2000
